IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
901B;8-930;4;0,3636;4;0,0519
901D;8-930;41;0,1653;41;0,0397
901D;8-132.3;33;0,1331;38;0,0368
901D;1-661;23;0,0927;26;0,0252
901D;5-570.4;22;0,0887;23;0,0223
901D;3-225;20;0,0806;20;0,0194
901D;3-200;19;0,0766;24;0,0233
901D;5-572.1;18;0,0726;18;0,0174
901D;5-601.0;16;0,0645;17;0,0165
901D;1-632;15;0,0605;18;0,0174
901D;8-800.c0;15;0,0605;15;0,0145
901D;3-222;14;0,0565;14;0,0136
901D;1-440.a;10;0,0403;10;0,0097
901D;5-585.1;10;0,0403;10;0,0097
901D;3-990;9;0,0363;12;0,0116
901D;3-207;9;0,0363;9;0,0087
901D;3-203;8;0,0323;9;0,0087
901D;5-573.40;8;0,0323;9;0,0087
901D;3-13f;8;0,0323;8;0,0078
901D;9-401.22;8;0,0323;8;0,0078
901D;5-585.0;7;0,0282;7;0,0068
901D;8-980.0;7;0,0282;7;0,0068
901D;3-052;6;0,0242;6;0,0058
901D;5-490.0;6;0,0242;6;0,0058
901D;5-609.0;6;0,0242;6;0,0058
901D;8-837.00;6;0,0242;6;0,0058
901D;1-710;5;0,0202;6;0,0058
901D;8-137.00;5;0,0202;6;0,0058
901D;1-275.0;5;0,0202;5;0,0048
901D;1-275.2;5;0,0202;5;0,0048
901D;1-650.2;5;0,0202;5;0,0048
901D;3-13d.5;5;0,0202;5;0,0048
901D;3-220;5;0,0202;5;0,0048
901D;5-573.1;5;0,0202;5;0,0048
901D;5-601.1;5;0,0202;5;0,0048
901D;5-906.2b;5;0,0202;5;0,0048
901D;8-541.4;5;0,0202;5;0,0048
901D;8-831.0;5;0,0202;5;0,0048
901D;5-581.0;4;0,0161;5;0,0048
901D;5-581.1;4;0,0161;5;0,0048
901D;3-202;4;0,0161;4;0,0039
901D;3-226;4;0,0161;4;0,0039
901D;5-377.1;4;0,0161;4;0,0039
901D;5-530.30;4;0,0161;4;0,0039
901D;5-582.3;4;0,0161;4;0,0039
901D;5-601.6;4;0,0161;4;0,0039
901D;5-859.12;4;0,0161;4;0,0039
901D;5-932.00;4;0,0161;4;0,0039
901D;5-984;4;0,0161;4;0,0039
901D;8-132.2;4;0,0161;4;0,0039
901D;8-642;4;0,0161;4;0,0039
901D;8-83b.c6;4;0,0161;4;0,0039
901D;8-910;4;0,0161;4;0,0039
901D;8-98f.0;4;0,0161;4;0,0039
901D;9-260;4;0,0161;4;0,0039
902Z;5-573.40;18;0,1935;18;0,0542
902Z;5-059.82;13;0,1398;13;0,0392
902Z;3-225;11;0,1183;12;0,0361
902Z;1-661;10;0,1075;10;0,0301
902Z;8-132.3;9;0,0968;12;0,0361
902Z;1-632;8;0,086;8;0,0241
902Z;8-137.00;7;0,0753;7;0,0211
902Z;8-930;6;0,0645;6;0,0181
902Z;1-440.a;5;0,0538;5;0,0151
902Z;3-222;5;0,0538;5;0,0151
902Z;3-226;5;0,0538;5;0,0151
902Z;5-493.0;5;0,0538;5;0,0151
902Z;5-640.2;5;0,0538;5;0,0151
902Z;8-541.4;5;0,0538;5;0,0151
902Z;1-653;4;0,043;4;0,012
902Z;3-13d.5;4;0,043;4;0,012
902Z;3-207;4;0,043;4;0,012
902Z;5-690.0;4;0,043;4;0,012
A09C;8-831.0;7;1,00;12;0,0779
A09C;3-200;5;0,7143;19;0,1234
A09C;8-701;5;0,7143;6;0,039
A09C;5-311.1;5;0,7143;5;0,0325
A09C;8-800.c0;5;0,7143;5;0,0325
A09C;8-931.0;5;0,7143;5;0,0325
A09C;8-831.2;4;0,5714;5;0,0325
A11D;3-200;7;1,00;31;0,2199
A11D;8-931.0;6;0,8571;6;0,0426
A11D;8-701;5;0,7143;7;0,0496
