IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
05 ;F49D;24022;0,064;0,0211;0,0219;0,8929;0,00;0,5799;0,4201;0,00;0,00;0,00;0,00;0,00;0,00;0,0007;0,0015;0,0104;0,0155;0,0428;0,0431;0,0612;0,0817;0,268;0,2299;0,2452;0,165;0,7729;0,0621;2;21;9,50;1,414;0,0018;4,50
05 ;F49E;26345;0,4424;0,2612;0,2965;0,00;0,00;0,5678;0,4322;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,0008;0,0054;0,0094;0,0418;0,0495;0,0684;0,0924;0,292;0,2262;0,214;0,19;0,7597;0,0502;2;17;8,00;1,126;0,0019;3,40
05 ;F49F;17116;0,6568;0,1977;0,1455;0,00;0,00;0,6142;0,3858;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,0005;0,0071;0,0094;0,0477;0,0641;0,0898;0,124;0,329;0,2042;0,1241;0,2899;0,6594;0,0507;1;12;4,90;0,936;0,0013;2,60
05 ;F49G;121436;0,7381;0,1618;0,1001;0,00;0,00;0,5621;0,4379;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0026;0,0134;0,0753;0,0821;0,1022;0,1176;0,2891;0,1831;0,1344;0,3824;0,566;0,0516;1;9;3,90;0,665;0,009;1,90
05 ;F50A;24870;0,598;0,1308;0,0963;0,1253;0,0495;0,6173;0,3827;0,00;0,00;0,00;0,00;0,0002;0,0005;0,0023;0,0011;0,0089;0,0201;0,0859;0,1001;0,1267;0,1578;0,3615;0,1108;0,0242;0,0549;0,8865;0,0585;1;10;3,70;2,731;0,0018;1,70
05 ;F50B;6626;0,5884;0,1093;0,1035;0,1176;0,0812;0,5978;0,4022;0,00;0,00;0,00;0,0003;0,0005;0,0033;0,0202;0,0098;0,05;0,0567;0,1043;0,0836;0,0978;0,1121;0,2618;0,133;0,0666;0,1499;0,7896;0,0605;1;12;4,10;2,119;0,0005;2,40
05 ;F50C;1074;0,7486;0,0968;0,0736;0,0559;0,0251;0,6266;0,3734;0,00;0,00;0,00;0,00;0,0009;0,0074;0,041;0,0223;0,0894;0,0754;0,135;0,1043;0,1108;0,122;0,2086;0,067;0,0158;0,2113;0,7321;0,0566;1;8;3,10;1,903;0,0001;1,30
05 ;F50D;14134;0,6554;0,1044;0,087;0,1005;0,0527;0,5604;0,4396;0,00;0,00;0,00;0,00;0,0008;0,0028;0,0117;0,0079;0,049;0,0439;0,0999;0,0812;0,0952;0,1128;0,2691;0,139;0,0867;0,2776;0,6521;0,0704;1;9;3,40;1,42;0,001;1,70
05 ;F51A;1202;0,2903;0,0907;0,1514;0,2097;0,2579;0,7471;0,2529;0,00;0,00;0,00;0,00;0,0008;0,00;0,0008;0,00;0,0033;0,0042;0,0349;0,0374;0,0699;0,1057;0,3636;0,228;0,1514;0,0362;0,8704;0,0934;3;24;10,00;7,301;0,0001;4,70
05 ;F51B;7610;0,4272;0,1075;0,1531;0,1708;0,1414;0,8784;0,1216;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,0076;0,0204;0,0535;0,1058;0,3683;0,2469;0,197;0,0109;0,9123;0,0768;2;18;8,10;5,138;0,0006;3,10
05 ;F52A;8653;0,00;0,00;0,00;0,00;1,00;0,6182;0,3818;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,00;0,0002;0,0044;0,0242;0,0327;0,05;0,0703;0,2395;0,2166;0,3621;0,1421;0,781;0,0769;3;25;11,90;2,262;0,0006;5,00
05 ;F52B;72105;0,5679;0,1711;0,1259;0,1347;0,0004;0,7219;0,2781;0,00;0,00;0,001;0,0003;0,0002;0,0002;0,0005;0,0001;0,0019;0,0143;0,1007;0,1071;0,119;0,12;0,2422;0,1435;0,1491;0,0595;0,8776;0,0629;1;12;5,70;1,386;0,0053;2,30
05 ;F56A;1384;0,00;0,00;0,00;0,00;1,00;0,6546;0,3454;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0014;0,0217;0,0434;0,0665;0,0867;0,2818;0,2103;0,2883;0,23;0,6965;0,0735;3;23;10,50;2,547;0,0001;4,50
05 ;F56B;20839;0,6503;0,1454;0,1129;0,0915;0,00;0,7518;0,2482;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,0031;0,0446;0,0648;0,1023;0,1278;0,3229;0,1963;0,1379;0,2762;0,6645;0,0594;1;10;4,00;1,272;0,0015;2,00
05 ;F58A;4337;0,00;0,00;0,00;0,00;1,00;0,6249;0,3751;0,00;0,00;0,00;0,00;0,00;0,0002;0,00;0,00;0,0005;0,0032;0,0224;0,0362;0,051;0,0761;0,2695;0,2354;0,3055;0,1484;0,7916;0,06;2;23;10,10;1,871;0,0003;4,80
05 ;F58B;63761;0,6679;0,1446;0,109;0,0785;0,00;0,7115;0,2885;0,00;0,00;0,00;0,00;0,0001;0,00;0,00;0,00;0,0002;0,0033;0,043;0,063;0,0971;0,1189;0,3188;0,2038;0,1518;0,3723;0,5544;0,0732;1;8;3,50;0,927;0,0047;1,60
05 ;F59A;9016;0,0955;0,0246;0,0341;0,0382;0,8077;0,5454;0,4545;0,0001;0,00;0,0001;0,0001;0,0008;0,0001;0,001;0,0008;0,0051;0,0091;0,0266;0,0358;0,0576;0,0847;0,2388;0,1902;0,3492;0,2024;0,6799;0,1176;4;29;13,30;2,857;0,0007;6,40
05 ;F59B;32638;0,4876;0,1342;0,1609;0,2173;0,00;0,6181;0,3819;0,00;0,00;0,0001;0,0003;0,0017;0,0021;0,0046;0,0012;0,0079;0,009;0,0369;0,0534;0,086;0,1116;0,2759;0,1746;0,2345;0,1525;0,7811;0,0664;2;19;8,20;1,75;0,0024;3,80
05 ;F59C;15188;0,6191;0,1108;0,1284;0,1417;0,00;0,5982;0,4018;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0024;0,0107;0,0144;0,0537;0,0658;0,0985;0,1206;0,2858;0,1649;0,183;0,2359;0,6903;0,0738;1;12;4,30;1,275;0,0011;2,40
05 ;F59D;43017;0,6695;0,113;0,111;0,1066;0,00;0,6013;0,3987;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,003;0,0068;0,0353;0,0558;0,0905;0,1189;0,2965;0,1921;0,2008;0,3232;0,6013;0,0755;1;10;3,60;0,93;0,0032;1,90
05 ;F60A;7880;0,00;0,00;0,00;0,00;1,00;0,5195;0,4805;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,0006;0,0081;0,0093;0,0211;0,0355;0,1552;0,1798;0,5902;0,1889;0,7533;0,0578;3;24;11,30;1,639;0,0006;4,80
05 ;F60B;23181;0,3129;0,1778;0,1873;0,322;0,00;0,5139;0,4861;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0016;0,0062;0,0401;0,043;0,05;0,0599;0,16;0,1445;0,4949;0,3791;0,5906;0,0303;1;15;6,20;0,842;0,0017;3,10
05 ;F61A;593;0,00;0,0017;0,0253;0,1889;0,7841;0,6172;0,3828;0,00;0,00;0,00;0,0017;0,0017;0,00;0,0017;0,0017;0,0118;0,0388;0,0607;0,0455;0,0523;0,0776;0,2462;0,2159;0,2445;0,1809;0,6746;0,1445;8;46;25,80;3,414;0,00;10,60
05 ;F61B;2672;0,0801;0,0917;0,1299;0,32;0,3784;0,6261;0,3739;0,00;0,00;0,0004;0,0004;0,0007;0,003;0,006;0,0026;0,0221;0,0367;0,055;0,0453;0,058;0,0823;0,2399;0,2133;0,2343;0,2208;0,6917;0,0875;7;43;23,40;2,653;0,0002;9,40
05 ;F62A;11199;0,00;0,00;0,00;0,00;1,00;0,5418;0,4581;0,0001;0,00;0,0001;0,0001;0,00;0,00;0,00;0,00;0,0004;0,0024;0,0073;0,0126;0,0218;0,0403;0,1754;0,2082;0,5314;0,1196;0,7932;0,0872;5;32;16,10;2,137;0,0008;6,70
05 ;F62B;279085;0,2393;0,1912;0,2432;0,2849;0,0414;0,4497;0,5502;0,00;0,00;0,0002;0,00;0,00;0,00;0,0001;0,00;0,0008;0,002;0,0096;0,0133;0,0233;0,0392;0,1694;0,1955;0,5465;0,09;0,8469;0,0631;2;18;8,20;0,879;0,0206;3,60
05 ;F63A;1337;0,00;0,00;0,00;0,00;1,00;0,4001;0,5999;0,00;0,00;0,00;0,00;0,00;0,00;0,003;0,00;0,006;0,0165;0,0202;0,0329;0,0404;0,0456;0,172;0,1586;0,5049;0,0865;0,8505;0,063;3;23;10,70;1,356;0,0001;4,70
05 ;F63B;29095;0,5391;0,2079;0,1291;0,1239;0,00;0,451;0,549;0,00;0,00;0,00;0,00;0,00;0,0002;0,0025;0,0047;0,0338;0,0451;0,0919;0,0665;0,0689;0,0812;0,1985;0,1416;0,2649;0,1091;0,831;0,0599;1;12;5,30;0,613;0,0021;2,40
05 ;F64Z;5598;0,2229;0,1686;0,2045;0,3123;0,0916;0,4207;0,5793;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0036;0,0145;0,0413;0,0445;0,0564;0,075;0,211;0,194;0,3598;0,07;0,8573;0,0727;2;18;8,70;0,90;0,0004;3,60
