IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
901D;G93.2;13;0,0949
901D;H46;13;0,0949
901D;Z49.1;13;0,0949
901D;C50.9;5;0,0365
902Z;D36.1;7;0,10
902Z;M35.0;7;0,10
902Z;D86.3;5;0,0714
902Z;Q85.0;4;0,0571
961Z;Z94.0;367;0,1642
961Z;Z96.2;364;0,1629
961Z;Z94.4;237;0,106
961Z;Z00.1;142;0,0635
961Z;I69.3;95;0,0425
961Z;Z99.2;77;0,0345
961Z;A63.0;75;0,0336
961Z;Z88.8;66;0,0295
961Z;Z85.3;55;0,0246
961Z;Q87.1;41;0,0183
961Z;Z94.81;35;0,0157
961Z;I69.4;31;0,0139
961Z;Z94.80;29;0,013
961Z;T90.5;26;0,0116
961Z;Z01.9;22;0,0098
961Z;Z88.0;22;0,0098
961Z;Z95.81;22;0,0098
961Z;Q87.2;20;0,0089
961Z;Z87.4;20;0,0089
961Z;R69;19;0,0085
961Z;Z94.1;19;0,0085
961Z;Q87.8;18;0,0081
961Z;Z49.2;18;0,0081
961Z;Z85.1;17;0,0076
961Z;Z85.0;16;0,0072
961Z;Z94.2;16;0,0072
961Z;Z85.8;13;0,0058
961Z;I69.1;11;0,0049
961Z;Q87.0;11;0,0049
961Z;Z63;11;0,0049
961Z;Z93.1;11;0,0049
961Z;I69.0;9;0,004
961Z;M99.84;9;0,004
961Z;Q87.3;9;0,004
961Z;Z85.4;9;0,004
961Z;Z96.6;9;0,004
961Z;I69.2;8;0,0036
961Z;Z98.2;8;0,0036
961Z;G09;7;0,0031
961Z;I25.20;7;0,0031
961Z;Z86.0;7;0,0031
961Z;Z96.0;7;0,0031
961Z;Z85.7;6;0,0027
961Z;Z86.7;6;0,0027
961Z;Z87.6;6;0,0027
961Z;Z88.7;6;0,0027
961Z;Q87.5;5;0,0022
961Z;Z00.0;5;0,0022
961Z;Z04.9;5;0,0022
961Z;Z55;5;0,0022
961Z;Z62;5;0,0022
961Z;Z88.1;5;0,0022
961Z;Z88.4;5;0,0022
961Z;M99.80;4;0,0018
961Z;M99.82;4;0,0018
961Z;Z01.7;4;0,0018
961Z;Z88.9;4;0,0018
961Z;Z91.0;4;0,0018
961Z;Z96.4;4;0,0018
963Z;P07.12;8;0,1633
963Z;P94.8;5;0,102
963Z;P07.11;4;0,0816
963Z;P07.2;4;0,0816
963Z;P07.3;4;0,0816
A42C;C90.00;16;0,2712
A42C;Z52.01;15;0,2542
A42C;C83.3;7;0,1186
A42C;C83.1;5;0,0847
A60C;T86.81;85;0,9341
A60C;T86.3;4;0,044
A60D;T86.81;35;0,443
A60D;T86.41;18;0,2278
A60D;T86.10;15;0,1899
A60D;T86.11;9;0,1139
A61B;T86.04;390;0,6122
A61B;T86.03;166;0,2606
A61B;T86.02;40;0,0628
A61B;T86.01;32;0,0502
A61B;T86.09;9;0,0141
A90A;R26.8;7047;0,2329
A90A;R26.2;907;0,03
A90A;I63.5;717;0,0237
A90A;R26.3;506;0,0167
A90A;S72.10;474;0,0157
A90A;S72.01;453;0,015
A90A;R29.6;425;0,014
A90A;M48.06;380;0,0126
A90A;G30.1;333;0,011
A90A;R52.2;331;0,0109
A90A;I50.13;310;0,0102
A90A;I63.4;297;0,0098
A90A;I50.01;270;0,0089
A90A;M17.1;267;0,0088
A90A;R26.0;264;0,0087
A90A;M16.1;258;0,0085
A90A;I63.9;244;0,0081
A90A;M62.30;230;0,0076
A90A;I63.3;225;0,0074
A90A;G81.1;218;0,0072
A90A;G20.10;213;0,007
A90A;G30.8;212;0,007
A90A;M54.16;210;0,0069
A90A;M79.10;210;0,0069
A90A;M54.4;209;0,0069
A90A;S32.89;208;0,0069
A90A;Z74.0;203;0,0067
A90A;F03;201;0,0066
A90A;R42;192;0,0063
A90A;F06.7;190;0,0063
A90A;I63.8;187;0,0062
A90A;S42.21;183;0,006
A90A;I67.88;152;0,005
A90A;G20.90;149;0,0049
A90A;I50.9;148;0,0049
A90A;I50.14;146;0,0048
A90A;F32.1;143;0,0047
A90A;S72.11;143;0,0047
A90A;G20.11;141;0,0047
A90A;M54.5;141;0,0047
A90A;F45.41;134;0,0044
A90A;M80.08;131;0,0043
A90A;I21.4;129;0,0043
A90A;I64;128;0,0042
A90A;I67.3;124;0,0041
A90A;M47.86;124;0,0041
A90A;G81.0;123;0,0041
A90A;M17.0;119;0,0039
A90A;S42.22;118;0,0039
A90A;M47.26;114;0,0038
A90A;S72.00;114;0,0038
A90A;F01.3;112;0,0037
A90A;M96.88;106;0,0035
A90A;R55;106;0,0035
A90A;M17.9;105;0,0035
A90A;M15.9;103;0,0034
A90A;Z48.8;101;0,0033
A90A;S32.01;99;0,0033
A90A;I25.13;98;0,0032
A90A;M15.0;97;0,0032
A90A;T84.0;92;0,003
