IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
901D;A46;6;0,0242
901D;D17.7;6;0,0242
901D;I50.01;6;0,0242
901D;I50.13;6;0,0242
901D;E65;5;0,0202
901D;I48.1;5;0,0202
901D;C44.2;4;0,0161
901D;I10.01;4;0,0161
901D;I26.9;4;0,0161
901D;J44.09;4;0,0161
901D;K56.4;4;0,0161
901D;T81.0;4;0,0161
902Z;R15;13;0,1398
961Z;P95;8;1,00
A13H;J44.09;6;0,40
A15D;C90.00;7;0,50
A15D;C90.30;7;0,50
A42C;C90.30;4;0,3636
B04C;I65.2;122;0,9606
B04C;I65.3;5;0,0394
B04D;I65.2;192;0,9275
B04D;I65.3;12;0,058
B05Z;G56.0;140;1,00
B09Z;S02.3;95;0,748
B09Z;S02.0;9;0,0709
B09Z;S02.7;7;0,0551
B09Z;S02.1;6;0,0472
B15Z;C79.3;60;0,6316
B15Z;C71.1;5;0,0526
B15Z;C71.8;5;0,0526
B15Z;C71.9;5;0,0526
B15Z;C71.2;4;0,0421
B16Z;C79.3;80;0,7921
B16Z;C71.2;6;0,0594
B16Z;C71.9;5;0,0495
B17B;G54.0;4;0,2667
B17C;G90.8;4;0,4444
B17D;G50.0;32;0,2286
B17D;G90.8;24;0,1714
B17D;G56.2;12;0,0857
B17D;G56.0;9;0,0643
B17D;D36.1;7;0,05
B17D;T85.1;7;0,05
B17D;G57.3;6;0,0429
B17D;G57.5;6;0,0429
B17D;G57.1;4;0,0286
B17E;G56.2;27;0,3553
B17E;G57.6;10;0,1316
B17E;G57.1;6;0,0789
B17E;G57.5;6;0,0789
B17E;G54.2;5;0,0658
B17E;D36.1;4;0,0526
B17E;G56.0;4;0,0526
B18Z;G54.4;25;0,2193
B18Z;T85.1;25;0,2193
B18Z;D32.1;9;0,0789
B18Z;G54.2;7;0,0614
B18Z;G97.80;6;0,0526
B18Z;D36.1;5;0,0439
B18Z;M53.1;4;0,0351
B18Z;T85.0;4;0,0351
B20B;C79.3;13;0,2281
B20B;D32.0;13;0,2281
B20B;C71.1;7;0,1228
B20B;C71.2;6;0,1053
B20B;G96.0;4;0,0702
B20E;G91.20;12;0,3636
B20E;G91.0;5;0,1515
B20F;S06.5;9;0,2903
B20F;I62.02;5;0,1613
B20F;G50.0;4;0,129
B20F;I62.01;4;0,129
B47Z;M53.1;22;0,5641
B47Z;M54.10;10;0,2564
B61B;C79.5;7;0,2593
B63Z;I67.88;44;0,4444
B63Z;F03;15;0,1515
B63Z;G30.1;8;0,0808
B63Z;F01.8;4;0,0404
B63Z;I67.2;4;0,0404
B64Z;R41.0;9;0,3913
B64Z;F05.1;6;0,2609
B66D;C71.1;23;0,2072
B66D;C71.2;22;0,1982
B66D;C79.3;21;0,1892
B66D;C71.3;17;0,1532
B66D;C71.9;11;0,0991
B66D;C71.8;7;0,0631
B66D;D32.0;4;0,036
B67A;G20.21;16;0,7619
B67A;G20.20;4;0,1905
B67B;G20.11;27;0,3803
B67B;G20.10;21;0,2958
B67B;G20.00;11;0,1549
B67B;G20.90;8;0,1127
B68C;G37.8;4;0,6667
B68D;G35.11;32;0,4776
B68D;G35.31;14;0,209
B68D;G35.21;8;0,1194
B68D;G35.30;4;0,0597
B69D;G45.92;42;0,2165
B69D;G45.82;38;0,1959
B69D;G45.89;32;0,1649
B69D;G45.09;28;0,1443
B69D;I65.2;18;0,0928
B69D;G45.02;9;0,0464
B69D;G45.42;4;0,0206
B69D;G45.99;4;0,0206
B70E;I61.0;4;0,20
B70E;I61.8;4;0,20
B70F;I63.8;64;0,2909
B70F;I63.5;46;0,2091
B70F;I63.3;35;0,1591
B70F;I63.9;32;0,1455
B70F;I63.4;16;0,0727
B70F;G93.4;4;0,0182
B70F;I63.0;4;0,0182
B70F;I63.2;4;0,0182
B70F;I64;4;0,0182
B70I;I64;18;0,2813
B70I;I63.9;11;0,1719
B70I;I63.8;8;0,125
B70I;I61.9;6;0,0938
B70I;I63.5;6;0,0938
B71C;G60.3;13;0,4194
B71C;E11.41;4;0,129
B71D;M53.1;269;0,3705
B71D;G51.0;133;0,1832
B71D;M54.10;88;0,1212
B71D;E11.41;63;0,0868
B71D;M54.12;49;0,0675
B71D;M53.0;19;0,0262
B71D;E10.41;13;0,0179
B71D;E11.40;9;0,0124
B71D;G62.9;9;0,0124
B71D;M89.04;8;0,011
B71D;M54.19;7;0,0096
B71D;M54.13;5;0,0069
B71D;G50.0;4;0,0055
B71D;G57.3;4;0,0055
B71D;M89.03;4;0,0055
B71D;M89.07;4;0,0055
B72B;G06.1;4;0,4444
B75Z;R56.8;11;0,6875
B75Z;R56.0;5;0,3125
B76D;G40.3;6;0,3158
B76D;G40.9;5;0,2632
B76F;G40.3;18;0,2727
B76F;G40.6;12;0,1818
B76F;G40.9;10;0,1515
B76F;G40.8;9;0,1364
B76F;G40.1;7;0,1061
B76F;G40.2;7;0,1061
B77Z;R51;38;0,3958
B77Z;G43.1;11;0,1146
B77Z;G44.2;11;0,1146
B77Z;G43.0;9;0,0938
B77Z;G43.9;8;0,0833
B77Z;G43.2;5;0,0521
B77Z;G97.1;5;0,0521
B77Z;G44.8;4;0,0417
B78A;S06.6;4;0,2857
B78B;S06.5;12;0,6667
B79Z;R40.0;14;0,3784
B79Z;S02.3;10;0,2703
B79Z;S02.1;8;0,2162
B80Z;S06.0;276;0,9892
B81B;B02.2;86;0,4971
B81B;R29.6;29;0,1676
B81B;R26.8;7;0,0405
B81B;R20.2;6;0,0347
