IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
06 ;G03C;4689;0,1433;0,0958;0,1051;0,2246;0,4312;0,5867;0,4133;0;0;0;0,0009;0;0;0;0,0004;0,0051;0,0143;0,065;0,0729;0,0855;0,1122;0,3082;0,1836;0,1518;0,0047;0,8871;0,1082;5;32;17,2;4,466;0,0004;5,6
06 ;G04A;489;0,1125;0,0859;0,0511;0,1022;0,6483;0,5951;0,4049;0;0;0,2802;0,1677;0,0838;0;0,002;0,002;0,0041;0,0102;0,0225;0,0225;0,0511;0,047;0,1452;0,0532;0,1084;0,1041;0,7489;0,147;3;24;12;3,062;0;5,2
06 ;G04B;17172;0,0094;0,0065;0,007;0,4071;0,5701;0,4691;0,5309;0;0;0;0;0;0,0021;0,0044;0,0016;0,0152;0,0216;0,0616;0,0586;0,0702;0,0848;0,2489;0,1641;0,2669;0,0387;0,827;0,1343;4;29;15,2;2,905;0,0013;5,8
06 ;G07A;728;0,4176;0,125;0,147;0,2857;0,0247;0,5632;0,4368;0;0;0,2569;0,1731;0;0;0;0;0,0069;0,0082;0,0398;0,0302;0,0522;0,0495;0,1813;0,1085;0,0934;0,0998;0,8349;0,0654;1;17;6,5;1,671;0,0001;3,9
06 ;G07B;994;0,2314;0,0392;0,0252;0,4889;0,2153;0,507;0,493;0;0;0;0;0,164;0,1761;0,0372;0,0141;0,0563;0,0765;0,1006;0,0523;0,0614;0,0563;0,1187;0,0423;0,0443;0,0846;0,8325;0,0829;2;17;8,2;1,846;0,0001;3,3
06 ;G07C;11866;0,4757;0,1373;0,0947;0,2271;0,0651;0,5881;0,4118;0,0001;0;0;0;0;0;0,0241;0,008;0,049;0,0547;0,1154;0,0962;0,0981;0,1166;0,2488;0,1081;0,0809;0,0472;0,8717;0,0811;2;16;8,2;1,458;0,0009;2,8
06 ;G08A;1457;0;0;0;0;1;0,4852;0,5148;0;0;0;0;0,0007;0;0;0;0,0069;0,0158;0,07;0,0652;0,094;0,0988;0,2663;0,175;0,2073;0,0319;0,8019;0,1662;4;29;14,7;3,07;0,0001;6,2
06 ;G08B;25810;0,7392;0,1475;0,0652;0,048;0;0,5022;0,4978;0;0;0;0,0001;0;0;0,0001;0,0003;0,0119;0,0442;0,1269;0,1055;0,1164;0,1241;0,2782;0,1203;0,0721;0,0442;0,909;0,0468;1;13;5,5;1,37;0,002;2,4
06 ;G09Z;9335;0,8417;0,0751;0,0473;0,0303;0,0056;0,9094;0,0906;0;0;0,0125;0,0067;0,0037;0,0017;0,002;0,0003;0,0005;0,0002;0,0004;0,0004;0,15;0,1996;0,37;0,1489;0,1028;0,3228;0,6225;0,0546;1;6;2,7;0,956;0,0007;0,9
06 ;G10Z;2238;0,151;0,1081;0,1215;0,2274;0,3919;0,4714;0,5286;0;0;0,0004;0,0004;0,0004;0,0004;0,0031;0,0009;0,0192;0,0331;0,0791;0,0742;0,097;0,1265;0,2735;0,1416;0,1501;0,0272;0,8562;0,1167;4;28;14,1;3,437;0,0002;5,4
06 ;G11A;688;0,7456;0,0887;0,0363;0,0858;0,0436;0,7573;0,2427;0;0;0,9288;0,0378;0,0145;0,0189;0;0;0;0;0;0;0;0;0;0;0;0,0053;0,9186;0,0761;1;13;6,3;1,466;0,0001;2,3
06 ;G11B;3760;0,8415;0,083;0,0423;0,0269;0,0064;0,5149;0,4851;0;0;0;0;0;0;0,0027;0,0019;0,0806;0,1247;0,2176;0,1207;0,1008;0,096;0,163;0,062;0,0301;0,1025;0,8581;0,0395;1;10;4,1;0,817;0,0003;1,7
06 ;G12A;1042;0,2188;0,1305;0,1536;0,2102;0,2869;0,4597;0,5403;0;0;0;0;0,0029;0,0029;0,0077;0,0048;0,048;0,0384;0,1219;0,0758;0,0969;0,1171;0,2668;0,1056;0,1113;0,1778;0,738;0,0843;3;28;10,1;2,74;0,0001;6,4
